"id","air_conditioning","amenities","balconies","barrier_free_accessibilty_entr","bike_parking","exterior_fire_escape","fire_alarm","garbage_chutes","heating_type","intercom","laundry_room","locker_or_storage_room","no_of_elevators","parking_type","pets_allowed","prop_management_company_name","property_type","rsn","separate_gas_meters","separate_hydro_meters","separate_water_meters","site_address","sprinkler_system","visitor_parking","ward","window_type","year_built","year_registered","no_of_storeys","emergency_power","non-smoking_building","no_of_units","no_of_accessible_parking_spaces","facilities_available","cooling_room","no_barrier_free_accessible_units","age_build"
10890,"NONE","Indoor pool , Indoor recreation room , Indoor exercise room","YES","NO","0 indoor parking spots and 12 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","PRINCESS MANAGEMENT","PRIVATE",4156297,"NO","YES","NO","25  WARRENDER AVE","YES","FREE","02","SINGLE PANE",1968,2017,13,"YES","YES",126,0,"Green Bin / Organics","NO",0,"Post 1950"
10891,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Surface Parking","YES","LAW PROPERTY MANAGEMENT","PRIVATE",4156357,"NO","YES","NO","314  THE KINGSWAY","NO","UNAVAILABLE","02","DOUBLE PANE",1954,2017,3,"NO","NO",22,0,"Green Bin / Organics","NO",0,"Post 1950"
10892,"NONE",NA,"YES","NO","20 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg","YES","HOLLYBURN PROPERTIES LTD","PRIVATE",4153933,"NO","YES","NO","111  ORIOLE PKWY","YES","UNAVAILABLE","12","DOUBLE PANE",1959,2017,3,"NO","NO",29,0,"Green Bin / Organics","NO",0,"Post 1950"
10893,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage","YES","AKELIUS CANADA LTD","PRIVATE",4153937,"NO","YES","NO","755  AVENUE RD","YES","UNAVAILABLE","12","DOUBLE PANE",1952,2019,4,"NO","YES",41,0,"Green Bin / Organics","NO",0,"Post 1950"
10894,"INDIVIDUAL UNITS",NA,"NO","NO","0 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","FORCED AIR GAS","YES","YES","NO",1,"Surface Parking","YES",NA,"PRIVATE",4153949,"NO","YES","NO","4  LATIMER AVE","YES","UNAVAILABLE","08","DOUBLE PANE",1953,2017,5,"YES","NO",65,0,"Recycling bins","NO",0,"Post 1950"
10895,"NONE",NA,"YES","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES",NA,1,"Ground Level Garage","NO",NA,"PRIVATE",4153951,"NO","YES","NO","564  EGLINTON AVE W","YES",NA,"08","DOUBLE PANE",1957,2017,5,"NO","YES",25,18,"Recycling bins","NO",0,"Post 1950"
10896,"CENTRAL AIR",NA,"YES","NO","30 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg","YES","FIDELITY PROPERTY MANAGEMENT","PRIVATE",4153399,"NO","NO","NO","20  ST PATRICK ST","YES","UNAVAILABLE","10","DOUBLE PANE",1982,2017,14,"YES","NO",256,0,"Green Bin / Organics","NO",0,"Post 1950"
10897,"NONE",NA,"NO","YES","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",0,NA,"NO","TCH","TCHC",4153404,"NO","NO","NO","11  SULLIVAN ST","YES","BOTH","10","DOUBLE PANE",1923,2017,3,"YES","YES",17,1,"Green Bin / Organics","NO",1,"Pre 1935"
10898,"NONE",NA,"NO","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,NA,"YES","DEEP QUONGG COMMUNITY FUND INC","SOCIAL HOUSING",4153414,"NO","NO","NO","2  MURRAY ST","YES","UNAVAILABLE","11","SINGLE PANE",1961,2018,6,"YES","NO",86,0,"Recycling bins","YES",0,"Post 1950"
10899,"NONE",NA,"NO","YES","0 indoor parking spots and 6 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","NO",NA,NA,"YES","HOMES FIRST SOCIETY","SOCIAL HOUSING",4153417,"NO","NO","NO","87  BELLEVUE AVE","YES","UNAVAILABLE","11","SINGLE PANE",1885,2017,3,"NO","NO",28,0,"Green Bin / Organics","NO",2,"Pre 1935"
10900,"NONE","Outdoor pool","YES","NO","10 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","KING'S COLLEGE MANAGEMENT LTD.","PRIVATE",4153969,"NO","YES","NO","140  ELM RIDGE DR","NO","PAID","08","DOUBLE PANE",1967,2017,18,"YES","NO",229,0,"Green Bin / Organics","NO",0,"Post 1950"
10901,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4153972,"NO","YES","NO","655  BRIAR HILL AVE","YES","UNAVAILABLE","08","DOUBLE PANE",1967,2017,4,"YES","NO",36,0,"Green Bin / Organics","NO",0,"Post 1950"
10902,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage","YES","CROMWELL MANAGEMENT INC.","PRIVATE",4153975,"NO","YES","NO","2525  BATHURST ST","YES","UNAVAILABLE","08","DOUBLE PANE",1965,2017,4,"NO","YES",33,0,"Green Bin / Organics","NO",0,"Post 1950"
10903,"NONE",NA,"YES","NO","Not Available","NO","YES","NO",NA,"YES","YES","YES",1,"Ground Level Garage , Garage accessible thru buildg","NO","REM FACILITIES MANAGEMENT INC","PRIVATE",4153983,"NO","YES","NO","2601  BATHURST ST","YES","UNAVAILABLE","08","SINGLE PANE",1953,2018,6,"NO",NA,62,0,"Recycling bins","NO",NA,"Post 1950"
10904,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"TCHC",4153434,"NO","NO","NO","200  SHERBOURNE ST","YES","UNAVAILABLE","13","DOUBLE PANE",1978,2017,7,"YES","YES",174,6,"Recycling bins","NO",5,"Post 1950"
10905,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","ELECTRIC","YES","YES","NO",0,"Surface Parking","YES","VICTORIAN RENTALS LIMITED","PRIVATE",4153436,"NO","YES","NO","95  PEMBROKE ST","NO","UNAVAILABLE","13","DOUBLE PANE",1885,2017,3,"NO","NO",19,0,"Green Bin / Organics","NO",0,"Pre 1935"
10906,"NONE",NA,"YES","YES","Not Available","YES","YES","NO","ELECTRIC","NO","NO","NO",0,"Surface Parking","YES",NA,"PRIVATE",4153440,"NO","YES","NO","262  SHERBOURNE ST","NO","UNAVAILABLE","13","DOUBLE PANE",1838,2017,3,"NO","NO",10,0,"Green Bin / Organics","NO",2,"Pre 1935"
10907,"CENTRAL AIR","Indoor recreation room , Child play area","YES","YES","30 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"SOCIAL HOUSING",4153450,"NO","NO","NO","269  JARVIS ST","NO","FREE","13","DOUBLE PANE",1992,2017,9,"YES","NO",75,2,"Green Bin / Organics","NO",8,"Post 1950"
10908,"NONE",NA,"NO","NO","0 indoor parking spots and 8 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage","YES",NA,"PRIVATE",4153453,"NO","NO","NO","368  GEORGE ST","NO","UNAVAILABLE","13","DOUBLE PANE",1939,2017,3,"NO","NO",16,10,"Green Bin / Organics","NO",0,"1935-1950"
10909,"CENTRAL AIR","Indoor recreation room , Indoor exercise room","NO","YES","9 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","MYRMEX NON-PROFIT HOUSING","SOCIAL HOUSING",4153455,"NO","NO","NO","177  MUTUAL ST","YES","FREE","13","THERMAL",1991,2018,10,"YES","NO",42,20,"Green Bin / Organics","NO",3,"Post 1950"
10910,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Surface Parking","YES","TCH","TCHC",4156361,"NO","NO","NO","600  ROGERS RD","YES","PAID","05","DOUBLE PANE",1990,2017,9,"YES","YES",207,2,"Green Bin / Organics","NO",4,"Post 1950"
10911,"NONE","Indoor recreation room","YES","YES","33 indoor parking spots and 14 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4152858,"NO","NO","NO","2350  BIRCHMOUNT RD","YES","FREE","22","DOUBLE PANE",1972,2017,13,"NO","NO",190,2,"Green Bin / Organics","NO",1,"Post 1950"
10912,"NONE",NA,"YES","YES","0 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage","YES","PARK PROPERTY MANAGEMENT INC","PRIVATE",4152862,"NO","YES","NO","40  AURORA CRT","YES","FREE","22","SINGLE PANE",1974,2017,13,"YES","NO",167,1,"Green Bin / Organics","YES",0,"Post 1950"
10913,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Underground Garage , Ground Level Garage , Surface Parking","YES","TAM O'SHANTER APARTMENTS","PRIVATE",4152867,"NO","NO","NO","2237  BIRCHMOUNT RD","YES","FREE","22","DOUBLE PANE",1967,2017,5,"NO","NO",44,0,"Green Bin / Organics","NO",0,"Post 1950"
10914,"NONE",NA,"YES","YES","15 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","NO",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TAM O'SHANTER APARTMENTS","PRIVATE",4152869,"NO","NO","NO","2249  BIRCHMOUNT RD","YES","FREE","22","SINGLE PANE",1979,2017,5,"NO","NO",40,1,"Green Bin / Organics","NO",0,"Post 1950"
10915,"NONE",NA,"YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","CANDO APARTMENTS LTD.","PRIVATE",4152874,"NO","YES","NO","3875  SHEPPARD AVE E","YES","PAID","22","DOUBLE PANE",1960,2017,14,"NO","NO",154,11,"Recycling bins","NO",154,"Post 1950"
10916,"NONE","Outdoor rec facilities","YES","YES","0 indoor parking spots and 8 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","GREENWIN INC.","PRIVATE",4152878,"NO","NO","NO","30  CARABOB CRT","YES","FREE","22","DOUBLE PANE",1971,2017,15,"YES","NO",195,1,"Recycling bins","NO",195,"Post 1950"
10917,"NONE","Indoor pool , Child play area , Sauna","YES","YES","0 indoor parking spots and 12 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg","YES","PARK PROPERTY MANAGEMENT INC","PRIVATE",4152880,"NO","YES","NO","50  CARABOB CRT","YES","FREE","22","DOUBLE PANE",1974,2017,15,"YES","NO",197,1,"Green Bin / Organics","YES",0,"Post 1950"
10918,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","RONA PROPERTY MANAGEMENT","PRIVATE",4154470,"NO","NO","NO","391  SENTINEL RD","YES","FREE","07","DOUBLE PANE",1966,2017,4,"NO","YES",44,45,"Green Bin / Organics","NO",0,"Post 1950"
10919,"NONE","Outdoor pool","YES","NO","25 indoor parking spots and 18 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4154480,"NO","YES","NO","2700  BATHURST ST","YES","FREE","08","DOUBLE PANE",1961,2017,10,"YES","NO",149,0,"Green Bin / Organics","YES",0,"Post 1950"
10920,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Carport , Surface Parking","YES",NA,"PRIVATE",4154492,"NO","YES","NO","47  EUPHRASIA DR","YES","UNAVAILABLE","08","DOUBLE PANE",1958,2017,3,"NO","NO",26,23,"Green Bin / Organics","NO",0,"Post 1950"
10921,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",0,"Ground Level Garage , Surface Parking","NO",NA,"PRIVATE",4154497,"NO","NO","NO","1079  LAWRENCE AVE W","NO","UNAVAILABLE","08","DOUBLE PANE",1965,2017,3,"NO","YES",15,19,"Green Bin / Organics","NO",0,"Post 1950"
10922,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Ground Level Garage","NO",NA,"PRIVATE",4154982,"NO","NO","NO","214  VAUGHAN RD","NO","UNAVAILABLE","12","SINGLE PANE",1955,2017,6,"NO","NO",31,8,"Green Bin / Organics","NO",0,"Post 1950"
10923,"NONE",NA,"YES","NO","15 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES","MEDALLION CORPORATION","PRIVATE",4154986,"NO","YES","NO","236  VAUGHAN RD","YES","UNAVAILABLE","12","DOUBLE PANE",1952,2017,5,"YES","YES",79,0,"Green Bin / Organics","NO",0,"Post 1950"
10924,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Underground Garage , Surface Parking","YES",NA,"PRIVATE",4154993,"NO","NO","NO","1594  BATHURST ST","NO","UNAVAILABLE","12","DOUBLE PANE",1948,2017,3,"YES","YES",22,6,"Green Bin / Organics","NO",0,"1935-1950"
10925,"NONE",NA,"NO","NO","0 indoor parking spots and 40 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",0,NA,"YES",NA,"PRIVATE",4154994,"NO","YES","NO","1592  BATHURST ST","NO","UNAVAILABLE","12","DOUBLE PANE",1955,2017,4,"YES","YES",35,0,"Green Bin / Organics","NO",0,"Post 1950"
10926,"NONE",NA,"NO","NO","8 indoor parking spots and 0 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4154998,"NO","YES","NO","1660  BATHURST ST","NO","UNAVAILABLE","12","DOUBLE PANE",1941,2017,3,"NO","NO",52,0,"Green Bin / Organics","NO",0,"1935-1950"
10927,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","NO","571051 ONTARIO LIMITED","PRIVATE",4155485,"NO","YES","NO","12  ALBERT AVE","NO","UNAVAILABLE","03","DOUBLE PANE",1957,2017,3,"NO","NO",12,12,"Green Bin / Organics","NO",0,"Post 1950"
10928,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","NO","NO",0,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4155495,"NO","YES","NO","2545  LAKE SHORE BLVD W","NO","FREE","03","DOUBLE PANE",1952,2017,4,"NO","NO",26,0,"Recycling bins","NO",0,"Post 1950"
10929,"NONE",NA,"NO","NO","0 indoor parking spots and 40 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","CAPREIT LIMITED PARTNERSHIP","PRIVATE",4155500,"NO","YES","NO","2521  LAKE SHORE BLVD W","NO","FREE","03","DOUBLE PANE",1952,2017,3,"NO","YES",37,4,"Green Bin / Organics","NO",0,"Post 1950"
10930,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","NO",NA,"PRIVATE",4155504,"NO","YES","NO","2507  LAKE SHORE BLVD W","NO","UNAVAILABLE","03","DOUBLE PANE",1955,2017,3,"NO","NO",21,16,"Green Bin / Organics","NO",0,"Post 1950"
10931,"NONE",NA,"YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4155513,"NO","YES","NO","2  ROYAL YORK RD","YES","FREE","03","DOUBLE PANE",1967,2017,6,"YES","NO",60,0,"Green Bin / Organics","NO",0,"Post 1950"
10932,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","RANEE MANAGEMENT","PRIVATE",4156383,"NO","NO","NO","106  GOODWOOD PARK CRT","YES","FREE","19","DOUBLE PANE",1961,2017,7,"NO","NO",129,2,"Green Bin / Organics","NO",0,"Post 1950"
10933,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck","YES","H & R PROPERTY MANAGEMENT","SOCIAL HOUSING",4156414,"NO","NO","NO","623  FINCH AVE W","YES","FREE","06","DOUBLE PANE",1983,2017,12,"YES","NO",141,1,"Green Bin / Organics","NO",0,"Post 1950"
10934,"NONE","Outdoor pool , Indoor recreation room , Outdoor rec facilities","YES","NO","45 indoor parking spots and 90 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","MINTO PROPERTIES INC.","PRIVATE",4156433,"NO","YES","NO","111  PACIFIC AVE","YES","PAID","04","DOUBLE PANE",1986,2017,17,"YES","NO",243,1,"Green Bin / Organics","YES",0,"Post 1950"
10935,"NONE","Indoor recreation room , Outdoor rec facilities , Child play area","NO","YES","Not Available","YES","YES","NO","HOT WATER","NO","YES","NO",2,"Surface Parking","YES","TCH- COMMERTIAL","TCHC",4152894,"NO","NO","NO","1319  NEILSON RD","YES","BOTH","25","DOUBLE PANE",1993,2017,13,"YES","YES",124,2,"Recycling bins","NO",0,"Post 1950"
10936,"INDIVIDUAL UNITS",NA,"YES","NO","Not Available","NO","YES","NO","ELECTRIC","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4152903,"NO","YES","NO","2555  BLOOR ST W","YES","UNAVAILABLE","04","DOUBLE PANE",1940,2017,4,"NO","NO",34,0,"Green Bin / Organics","NO",0,"1935-1950"
10937,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154504,"NO","YES","NO","49  NEPTUNE DR","NO","UNAVAILABLE","08","DOUBLE PANE",1990,2017,3,"NO","YES",10,0,"Green Bin / Organics","NO",0,"Post 1950"
10938,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage","NO","D. KADOCH INVESTMENTS INC","PRIVATE",4154506,"NO","YES","NO","10  WASDALE CRES","NO","FREE","08","DOUBLE PANE",1956,2017,3,"NO","YES",10,0,"Green Bin / Organics","NO",0,"Post 1950"
10939,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","NO","YES",0,"Ground Level Garage , Surface Parking","YES","ALLCARE HOLDINGS LIMITED","PRIVATE",4154507,"NO","YES","NO","24  WASDALE CRES","NO","UNAVAILABLE","08","DOUBLE PANE",1950,2017,3,"YES","YES",11,9,"Recycling bins","NO",0,"Post 1950"
10940,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","NO","YES","NO",0,"Carport , Surface Parking","YES","D & D MANAGEMENT","PRIVATE",4154523,"NO","YES","NO","20  HOTSPUR RD","NO","UNAVAILABLE","08","DOUBLE PANE",1956,2017,3,"NO","NO",12,8,"Green Bin / Organics","NO",0,"Post 1950"
10941,"NONE",NA,"NO","NO","10 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage","NO","JENNIC INVESTMENTS INC.","PRIVATE",4155005,"NO","YES","NO","1071  EGLINTON AVE W","NO","UNAVAILABLE","12","DOUBLE PANE",1955,2017,3,"NO","YES",33,0,"Green Bin / Organics","NO",0,"Post 1950"
10942,"NONE",NA,"YES","YES","Not Available","YES","YES","NO","HOT WATER","YES","YES","YES",2,"Ground Level Garage , Surface Parking","YES","2298097 ONTARIO INC","PRIVATE",4155011,"NO","NO","NO","450  WINONA DR","YES","FREE","12","DOUBLE PANE",1960,2017,6,"NO","NO",124,49,"Green Bin / Organics","NO",24,"Post 1950"
10943,"NONE",NA,"NO","NO","0 indoor parking spots and 10 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","NO","OLYMPIA PROPERTIES INC.","PRIVATE",4155017,"NO","YES","NO","375  WESTMOUNT AVE","NO","UNAVAILABLE","09","DOUBLE PANE",1953,2017,3,"NO","NO",30,10,"Green Bin / Organics","NO",0,"Post 1950"
10944,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"PRIVATE",4155031,NA,NA,NA,"1801  EGLINTON AVE W",NA,NA,"12","DOUBLE PANE",1960,NA,3,NA,NA,41,NA,"Not Available",NA,NA,"Post 1950"
10945,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","NORTHVIEW APARTMENT REIT","PRIVATE",4155523,"NO","NO","NO","245  LAKE SHORE DR","YES","FREE","03","THERMAL",1966,2017,8,"NO","NO",52,0,"Recycling bins","NO",0,"Post 1950"
10946,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","NO","NO",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4155528,"NO","YES","NO","20  FOURTEENTH ST","NO","UNAVAILABLE","03","DOUBLE PANE",1957,2019,3,"YES","NO",12,0,"Recycling bins","NO",0,"Post 1950"
10947,"NONE","Indoor recreation room","YES","YES","20 indoor parking spots and 6 outdoor parking spots","NO","YES","YES","FORCED AIR GAS","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"SOCIAL HOUSING",4155536,"NO","NO","NO","1  COIN ST","YES","FREE","03","DOUBLE PANE",1993,2017,14,"YES","YES",133,17,"Green Bin / Organics","YES",9,"Post 1950"
10948,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","ELECTRIC","YES","NO","NO",0,"Surface Parking","YES","CENTURY 21","PRIVATE",4155538,"NO","YES","NO","105  TWENTY FIFTH ST","NO","FREE","03","DOUBLE PANE",1970,2017,3,"NO","YES",29,0,"Recycling bins","NO",0,"Post 1950"
10949,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Surface Parking","YES","TCH","TCHC",4156483,"NO","NO","NO","5  WAKUNDA PL","YES","PAID","19","DOUBLE PANE",1967,2017,11,"YES","YES",198,4,"Green Bin / Organics","NO",3,"Post 1950"
10950,"NONE",NA,"YES","NO","0 indoor parking spots and 7 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","GOLD SEAL MANAGEMENT INC.","PRIVATE",4156512,"NO","YES","NO","32  BROOKWELL DR","YES","FREE","06","DOUBLE PANE",1964,2017,4,"NO","NO",38,0,"Recycling bins","NO",0,"Post 1950"
10951,"NONE","Indoor recreation room , Outdoor rec facilities , Child play area","YES","NO","0 indoor parking spots and 7 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","METCAP LIVING MANAGEMENT INC.","PRIVATE",4156516,"NO","YES","NO","75-85  SILVER SPRINGS BLVD","YES","FREE","22","DOUBLE PANE",1978,2017,9,"YES","NO",133,0,"Green Bin / Organics","NO",0,"Post 1950"
10952,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Carport","NO",NA,"PRIVATE",4153776,"NO","NO","NO","1674  BAYVIEW AVE","YES","UNAVAILABLE","15","DOUBLE PANE",1958,2017,3,"YES","NO",29,0,"Green Bin / Organics","NO",0,"Post 1950"
10953,"NONE",NA,"NO","NO","20 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage","YES","CARD CORP","PRIVATE",4153789,"NO","YES","NO","75  PETMAN AVE","YES","UNAVAILABLE","15","DOUBLE PANE",1958,2017,3,"NO","NO",26,0,"Unknown","NO",0,"Post 1950"
10954,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","ELECTRIC","YES","YES","NO",0,NA,"YES","Q RESIDENTIAL","PRIVATE",4153798,"NO","NO","NO","63  ROEHAMPTON AVE","NO","UNAVAILABLE","12","DOUBLE PANE",1928,2017,4,"NO","YES",56,0,"Recycling bins","NO",0,"Pre 1935"
10955,"NONE",NA,"YES","YES","20 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","NO",NA,"PRIVATE",4153802,"NO","YES","NO","199  ROEHAMPTON AVE","YES","FREE","12","DOUBLE PANE",1963,2017,12,"NO","NO",125,4,"Green Bin / Organics","NO",0,"Post 1950"
10956,"CENTRAL AIR",NA,"YES","YES","5 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","ROEHAMPTON TOWERS","PRIVATE",4153803,"NO","YES","NO","245  ROEHAMPTON AVE","YES","FREE","12","DOUBLE PANE",1964,2017,15,"NO","NO",83,0,"Recycling bins","NO",0,"Post 1950"
10957,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"TCHC",4153804,"NO","NO","NO","220  EGLINTON AVE E","YES","UNAVAILABLE","12","DOUBLE PANE",1972,2017,10,"YES","YES",99,6,"Unknown","NO",1,"Post 1950"
10958,"NONE",NA,"YES","NO","126 indoor parking spots and 40 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg","YES","KG GROUP","PRIVATE",4153806,"NO","YES","NO","299  ROEHAMPTON AVE","YES","FREE","15","THERMAL",1970,2017,12,"YES","NO",224,7,"Recycling bins","NO",0,"Post 1950"
10959,"CENTRAL AIR","Outdoor pool , Indoor recreation room , Indoor exercise room , Sauna","YES","YES","0 indoor parking spots and 12 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","WJ PROPERTIES.CA","PRIVATE",4154534,"NO","YES","NO","125  NEPTUNE DR","YES","FREE","08","DOUBLE PANE",1974,2017,15,"YES","NO",171,0,"Green Bin / Organics","YES",171,"Post 1950"
10960,"INDIVIDUAL UNITS",NA,"YES","NO","12 indoor parking spots and 12 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","NO","CRISTINA DOLENZ","PRIVATE",4154546,"NO","YES","NO","37  WASDALE CRES","NO","FREE","08","DOUBLE PANE",1960,2017,3,"NO","YES",11,12,"Green Bin / Organics","NO",0,"Post 1950"
10961,"INDIVIDUAL UNITS",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154549,"NO","YES","NO","31  WASDALE CRES","NO","UNAVAILABLE","08","DOUBLE PANE",1950,2018,3,"YES","NO",11,6,"Green Bin / Organics","NO",NA,"Post 1950"
